intersection,latitude,longitude,date,elements,vz_priority,borough
21st Rd & 21st St,40.7815804869,-73.9154586728,2022-02-22,Leading Pedestrian Interval,no,Queens
23rd St & 36th Ave,40.7590698607,-73.9350587752,2022-02-22,Leading Pedestrian Interval,no,Queens
27th Ave & 8th St,40.774213472,-73.9318162456,2022-02-22,Leading Pedestrian Interval,no,Queens
30th St & 38th Ave,40.7541938904,-73.9327896147,2022-02-22,Leading Pedestrian Interval,no,Queens
8th St & Astoria Blvd,40.7726988868,-73.9326842894,2022-02-22,Leading Pedestrian Interval,no,Queens
Bond St & Livingston St,40.6887855182,-73.9835717678,2022-02-23,Leading Pedestrian Interval,no,Brooklyn
Cumberland St & Lafayette Ave,40.6874165537,-73.9726862812,2022-02-23,Leading Pedestrian Interval,no,Brooklyn
E 36th St & Fillmore Ave,40.6113808558,-73.9331603045,2022-02-23,Leading Pedestrian Interval,no,Brooklyn
E 91st St & Winthrop St,40.659814044,-73.9264654829,2022-02-23,Leading Pedestrian Interval,no,Brooklyn
E 93rd St & Winthrop St,40.6607381107,-73.9250335443,2022-02-23,Leading Pedestrian Interval,no,Brooklyn
E 94th St & Farragut Rd,40.6450873987,-73.9063670565,2022-02-23,Leading Pedestrian Interval,no,Brooklyn
Hanson Pl & St Felix St,40.6851914929,-73.9770283964,2022-02-23,Leading Pedestrian Interval,no,Brooklyn
Hoyt St & Livingston St,40.6896311965,-73.9857387004,2022-02-23,Leading Pedestrian Interval,no,Brooklyn
Jay St & Metrotech Rdwy,40.6931254657,-73.9872525061,2022-02-23,Leading Pedestrian Interval,no,Brooklyn
Jay St & Willoughby St,40.692233421,-73.9872995549,2022-02-23,Leading Pedestrian Interval,no,Brooklyn
W 11th St & Kings Hwy,40.6055966838,-73.9840352047,2022-02-23,Leading Pedestrian Interval,no,Brooklyn
W 12th St & Kings Hwy,40.6057313095,-73.98500754,2022-02-23,Leading Pedestrian Interval,no,Brooklyn
W 13th St & Kings Hwy,40.6058769052,-73.9859726731,2022-02-23,Leading Pedestrian Interval,no,Brooklyn
5th Ave & E 72nd St,40.77246132,-73.9670408749,2022-02-23,Leading Pedestrian Interval,no,Manhattan
Jefferson St & Madison St,40.7127698809,-73.988482392,2022-02-23,Leading Pedestrian Interval,no,Manhattan
W 22nd St & 6th Ave,40.7422352202,-73.9932913561,2022-02-23,Leading Pedestrian Interval,no,Manhattan
101st Ave & 111th St,40.6880420816,-73.8327446214,2022-02-23,Leading Pedestrian Interval,no,Queens
12th Ave & New Utrecht Ave,40.6358480245,-73.9948333192,2022-02-24,Leading Pedestrian Interval,no,Brooklyn
