index,intersection,latitude,longitude,date,number,elements,vz_priority,borough
357,W Burnside Ave & Loring Pl S,40.8539417129,-73.9146762708,2022-05-13,358,Leading Pedestrian Interval,no,Bronx
358,W Burnside Ave & Osborne Pl,40.8546538243,-73.9163598726,2022-05-13,359,Leading Pedestrian Interval,no,Bronx
359,W Burnside Ave & Sedgwick Ave,40.854873711,-73.9167897638,2022-05-13,360,Leading Pedestrian Interval,no,Bronx
360,E 79th St & E End Ave,40.7703930345,-73.948073569,2022-05-13,361,Leading Pedestrian Interval,no,Manhattan
361,E 80th St & E End Ave,40.7710789964,-73.9475820329,2022-05-13,362,Leading Pedestrian Interval,no,Manhattan
362,E 81st St & E End Ave,40.7717128204,-73.9471194119,2022-05-13,363,Leading Pedestrian Interval,no,Manhattan
363,E 83rd St & E End Ave,40.7729859503,-73.9461941367,2022-05-13,364,Leading Pedestrian Interval,no,Manhattan
364,E 84th St & E End Ave,40.7736197668,-73.9457278776,2022-05-13,365,Leading Pedestrian Interval,no,Manhattan
365,E 86th St & E End Ave,40.7749340397,-73.9447664113,2022-05-13,366,Leading Pedestrian Interval,no,Manhattan
366,E 87th St & E End Ave,40.7756062651,-73.9442784296,2022-05-13,367,Leading Pedestrian Interval,no,Manhattan
367,E 88th St & E End Ave,40.7762373324,-73.9438193574,2022-05-13,368,Leading Pedestrian Interval,no,Manhattan
368,64th Pl & Cooper Ave,40.69812002158636,-73.89110992378141,2022-05-13,369,Traffic Signal,no,Queens
369,Huguenot Ave & Vineland Ave,40.5432612128,-74.1973069092,2022-05-16,370,Leading Pedestrian Interval,no,Staten Island
370,19th St & Prospect Park W,40.6571492164,-73.9834389975,2022-05-18,371,Leading Pedestrian Interval,no,Brooklyn
371,E Burnside Ave & Creston Ave,40.8528195994,-73.9047552488,2022-05-20,372,Leading Pedestrian Interval,no,Bronx
372,E Burnside Ave & Valentine Ave,40.8502526188,-73.9006924985,2022-05-20,373,Leading Pedestrian Interval,no,Bronx
373,W Burnside Ave & Davidson Ave,40.853816212,-73.9084987493,2022-05-20,374,Leading Pedestrian Interval,no,Bronx
374,W Burnside Ave & Grand Ave,40.8539596721,-73.9094311702,2022-05-20,375,Leading Pedestrian Interval,no,Bronx
375,W Burnside Ave & Harrison Ave,40.8544706896,-73.9100739139,2022-05-20,376,Leading Pedestrian Interval,no,Bronx
376,Amersfort Pl & Glenwood Rd,40.6336364051,-73.951058671,2022-05-20,377,Leading Pedestrian Interval,no,Brooklyn
377,Bergen Ave & Ralph Ave,40.62977004359931,-73.91837994284852,2022-05-20,378,"Leading Pedestrian Interval, Traffic Signal",no,Brooklyn
378,E 23rd St & Glenwood Rd,40.6332180076,-73.9548599784,2022-05-20,379,Leading Pedestrian Interval,no,Brooklyn
379,E 24th St & Glenwood Rd,40.6333191973,-73.9539339773,2022-05-20,380,Leading Pedestrian Interval,no,Brooklyn
380,E 17th St & Foster Ave,40.6349084031,-73.961308087,2022-05-25,381,Leading Pedestrian Interval,no,Brooklyn
381,E 150th St & Courtlandt Ave,40.8172207509,-73.9192393594,2022-05-27,382,Leading Pedestrian Interval,no,Bronx
382,E 158th St & Cauldwell Ave,40.82011297794175,-73.90818633094275,2022-05-27,383,Raised Crosswalk,yes,Bronx
383,Amboy Rd & Ridgecrest Ave,40.54375004979957,-74.16348992575122,2022-05-27,384,"Leading Pedestrian Interval, Traffic Signal",no,Staten Island
384,Coney Island Ave & Elm Ave,40.61658973545885,-73.9636224552717,2022-06-06,385,Raised Crosswalk,no,Brooklyn
385,85th St & Rockaway Blvd,40.68332005323998,-73.8550299377437,2022-06-14,386,Traffic Signal,no,Queens
386,Beach 110th St & Rockaway Beach Blvd,40.58125005596375,-73.83202991161124,2022-06-14,387,Traffic Signal,no,Queens
387,165th St & Northern Blvd,40.76017003541821,-73.80117989787887,2022-06-17,388,Traffic Signal,no,Queens
388,31st Pl & Hunters Point Ave,40.74008003843019,-73.93544994012241,2022-06-25,389,Traffic Signal,no,Queens
389,E 211th St & White Plains Rd,40.87786004453798,-73.86587989230914,2022-07-01,390,Traffic Signal,no,Bronx
390,E 56th St & Avenue L,40.62393003638084,-73.9215898764886,2022-07-01,391,Traffic Signal,no,Brooklyn
391,Willoughby Ave & Wilson Ave,40.700900047412574,-73.9260999271302,2022-07-11,392,Traffic Signal,no,Brooklyn
392,Bainbridge Ave & Mosholu Pkwy N,40.87258003227066,-73.88126990472956,2022-07-15,393,Traffic Signal,no,Bronx
